
0: ('main', '_', '_', '_')
1: ('=', '1', '_', 'a')
2: ('=', '2', '_', 'b')
3: ('=', '3', '_', 'c')
4: ('=', '4', '_', 'd')
5: ('=', '5', '_', 'e')
6: ('=', '6', '_', 'f')
7: ('=', '7', '_', 'g')
8: ('=', '8', '_', 'h')
9: ('=', '9', '_', 'i')
10: ('=', '10', '_', 'j')
11: ('=', '11', '_', 'k')
12: ('=', '12', '_', 'l')
13: ('=', '13', '_', 'm')
14: ('=', '14', '_', 'n')
15: ('=', '15', '_', 'o')
16: ('=', '16', '_', 'x')
17: ('J>', 'm', 'n', 19)
18: ('J', '_', '_', 40)
19: ('J<', 'f', 'g', 21)
20: ('J', '_', '_', 27)
21: ('==', 'c', 'd', 't1')
22: ('!=', 't1', 'e', 't2')
23: ('&&', 'b', 't2', 't3')
24: ('||', 'a', 't3', 't4')
25: ('=', 't4', '_', 'result')
26: ('J', '_', '_', 40)
27: ('+', 'i', 'j', 't5')
28: ('*', 'k', 'l', 't6')
29: ('/', 't6', 'm', 't7')
30: ('!', 'n', '_', 't8')
31: ('*', 't7', 't8', 't9')
32: ('-', 't5', 't9', 't10')
33: ('-', 't10', 'o', 't11')
34: ('<=', 'h', 't11', 't12')
35: ('call', 'p', '_', 't13')
36: ('&&', 't12', 't13', 't14')
37: ('+', 'x', '123', 't15')
38: ('||', 't14', 't15', 't16')
39: ('=', 't16', '_', 'result')
40: ('ret', '_', '_', '0')
41: ('sys', '_', '_', '_')
