
0: ('=', '100', '_', 'max')
1: ('=', '20', '_', 'b')
2: ('main', '_', '_', '_')
3: ('=', '10', '_', 'a')
4: ('=', '0', '_', 'd')
5: ('call', 'readInt', '_', 't1')
6: ('=', 't1', '_', 'target')
7: ('para', 'g', '_', '_')
8: ('para', 'target', '_', '_')
9: ('call', 'check_guess', '_', 't2')
10: ('=', 't2', '_', 'result')
11: ('J>', 'a', '0', 13)
12: ('J', '_', '_', 28)
13: ('-', 'a', '1', 't3')
14: ('=', 't3', '_', 'a')
15: ('J==', 'result', '1', 17)
16: ('J', '_', '_', 27)
17: ('J>=', 'g', '0', 21)
18: ('J', '_', '_', 19)
19: ('J<', 'g', '0', 21)
20: ('J', '_', '_', 27)
21: ('J==', 'result', '0', 27)
22: ('J', '_', '_', 23)
23: ('*', 'result', '2', 't4')
24: ('=', 't4', '_', 'tmp')
25: ('-', 'tmp', '1', 't5')
26: ('=', 't5', '_', 'tmp')
27: ('J', '_', '_', 11)
28: ('J<', 'a', 'max', 30)
29: ('J', '_', '_', 35)
30: ('J!=', 'b', '0', 32)
31: ('J', '_', '_', 35)
32: ('+', 'a', 'b', 't6')
33: ('=', 't6', '_', 'a')
34: ('J', '_', '_', 36)
35: ('=', '0', '_', 'a')
36: ('ret', '_', '_', 'a')
37: ('sys', '_', '_', '_')
38: ('check_guess', '_', '_', '_')
39: ('=', '1', '_', 'CORRECT')
40: ('=', '0', '_', 'WRONG')
41: ('J==', 'guess', 'TARGET', 43)
42: ('J', '_', '_', 46)
43: ('=', 'CORRECT', '_', 'result')
44: ('=', '1', '_', 'game_over')
45: ('J', '_', '_', 52)
46: ('=', 'WRONG', '_', 'result')
47: ('J<', 'guess', 'TARGET', 49)
48: ('J', '_', '_', 51)
49: ('=', 'L', '_', 'hint')
50: ('J', '_', '_', 52)
51: ('=', 'H', '_', 'hint')
52: ('ret', '_', '_', 'result')
