
0: ('main', '_', '_', '_')
1: ('=', '5', '_', 'a')
2: ('=', '10', '_', 'b')
3: ('=', '15', '_', 'c')
4: ('=', '20', '_', 'd')
5: ('=', '25', '_', 'e')
6: ('=', '30', '_', 'f')
7: ('>', 'a', 'b', 't1')
8: ('!', 't1', '_', 't2')
9: ('==', 'c', 'd', 't3')
10: ('&&', 't2', 't3', 't4')
11: ('!=', 'e', 'f', 't5')
12: ('>=', 'a', 'b', 't6')
13: ('&&', 't5', 't6', 't7')
14: ('||', 't4', 't7', 't8')
15: ('<', 'c', 'd', 't9')
16: ('<=', 'e', 'f', 't10')
17: ('!', 't10', '_', 't11')
18: ('&&', 't9', 't11', 't12')
19: ('||', 't8', 't12', 't13')
20: ('=', 't13', '_', 'result')
21: ('ret', '_', '_', '0')
22: ('sys', '_', '_', '_')
